,Название класса,Precision,Recall,f1-мера
0,"Жестокое обращение
 с животными",0.951473136915078,0.9522983521248916,0.951885565669701
1,Пытки,0.7894273127753304,0.7580372250423012,0.7734138972809668
2,Убийство,0.762071992976295,0.793418647166362,0.7774294670846397
3,Абьюз,0.9113924050632911,0.9171974522292994,0.9142857142857144
